title,titleVF,youtube_url,category_id
Dragon Quest Monsters Joker ,Intro,https://www.youtube.com/watch?v=VnG28-I3u5A,games
Drawn to Life,Title Theme,https://www.youtube.com/watch?v=VQVooI4NUhk,games
Dredge,Main Theme,https://www.youtube.com/watch?v=X9EmRhWSIqQ,games
DuckTales Remastered,Intro,https://www.youtube.com/watch?v=-aqL_CxPhPI,games
Dying Light,Harran,https://www.youtube.com/watch?v=yvpr0XGOqd4,games
Earthbound,Opening Credits,https://www.youtube.com/watch?v=jpnvKtb3ItU,games
Eco,Deep Morning,https://www.youtube.com/watch?v=eawMDoiyHYA,games
Eden Eternal,Title Screen,https://www.youtube.com/watch?v=aukjX9RYrFM,games
Elden Ring,Main Theme,https://www.youtube.com/watch?v=N2p_JFF4lR0,games
English Training,Peter Piper Syndrome,https://www.youtube.com/watch?v=mWlm2CTK82o,games
Euro Truck Simulator 2,Introduction,https://www.youtube.com/watch?v=CKpymgMrwfA,games
EVE Online,Below The Asteroids,https://www.youtube.com/watch?v=bbcsz8sb7Cg,games
F-Zero,Intro,https://www.youtube.com/watch?v=JKS_wJiDVF0,games
Fall Guys,Season 4 - Falling stars,https://www.youtube.com/watch?v=MeYlIy3-XAI,games
Fallout 3,Intro Song (I Don't Want to Set the World On Fire),https://www.youtube.com/watch?v=MC9muechLB0,games
Fallout 4,Main Theme,https://www.youtube.com/watch?v=6YmUufemZSM,games
Fallout 76,Main Theme,https://www.youtube.com/watch?v=i_7po_3Whl0,games
Fallout: New Vegas,Main Title,https://www.youtube.com/watch?v=l7eeEprQ0x4,games
Farcry 4,The Clash - Should I Stay Or Should I Go,https://www.youtube.com/watch?v=eYI60PBMBDk,games
Farcry 5,Amazing Grace,https://www.youtube.com/watch?v=rCzdVRfItHU,games
Fellowship,Main Theme,https://www.youtube.com/watch?v=0EubHEeKABg,games
Final Fantasy,Main Theme,https://www.youtube.com/watch?v=O8IBoFIFE-E,games
Final Fantasy Fables : Chocobo Tales,Opening,https://www.youtube.com/watch?v=BmkcFFvdkkg,games
Fire Emblem Awakening,Prologue,https://www.youtube.com/watch?v=0NeBOcI84tw,games
Fire Emblem: Fates,Abundant Solace,https://www.youtube.com/watch?v=NqMkdg2WXUc,games
Firewatch,Prologue,https://www.youtube.com/watch?v=U6jJdVrmUP0,games
Five Nights at Freddy's,Music Box,https://www.youtube.com/watch?v=LhKlCp5Sh9I,games
Flappy Bird,Gameplay,https://www.youtube.com/watch?v=HzvpOtyJYGs,games
Fortnite,Menu Theme,https://www.youtube.com/watch?v=bBfgS9XvWME,games
FTL: Faster Than Light,Space Cruiser,https://www.youtube.com/watch?v=nbuXDKbWF9w,games
Furi,Danger - 6:24,https://www.youtube.com/watch?v=8QpUGCXwOks,games
Genshin Impact,Main Theme,https://www.youtube.com/watch?v=EEYMlUVKmyE,games
God of War,God of War,https://www.youtube.com/watch?v=y9hh91-2iaA,games
Gran Turismo 4,Arcade Mode,https://www.youtube.com/watch?v=6pyhHlxVzj4,games
Grand Theft Auto 3,Main Theme,https://www.youtube.com/watch?v=znFpxo61WUg,games
Grand Theft Auto 4,Main Theme,https://www.youtube.com/watch?v=CzK662lKeOs,games
Grand Theft Auto 5,Main Theme,https://www.youtube.com/watch?v=KzKvPrIPVbE,games
Grand Theft Auto San Andreas,Main Theme,https://www.youtube.com/watch?v=qOzL8-u3fjo,games
Green Hell,Main Theme,https://www.youtube.com/watch?v=KvrNQkOTIXY,games
Hades,The Exalted,https://www.youtube.com/watch?v=FLK0pr3r3XA,games
Halo,Theme Song,https://www.youtube.com/watch?v=0jXTBAGv9ZQ,games
Harvest Moon DS,Opening Theme,https://www.youtube.com/watch?v=GQ7uSVcGjTo,games
Hearthstone,Main Title,https://www.youtube.com/watch?v=j_vLgPptLp8,games
Heavy Rain,Ethan Mars' Main Theme,https://www.youtube.com/watch?v=o7-7-E-G270,games
Helldivers 2,A Cup Of Liber-Tea,https://www.youtube.com/watch?v=R5hCkh2AH58,games
Hogwarts Legacy,Ouverture to the Unwritten,https://www.youtube.com/watch?v=eCyMy9ZStnM,games
Hollow Knight,Enter Hallownest,https://www.youtube.com/watch?v=243Uguc-6mQ,games
Hollow Knight Silksong,Choral Chambers,https://www.youtube.com/watch?v=FTicXQYw2ts,games
Horizon Zero Dawn,Aloy's Theme,https://www.youtube.com/watch?v=_w9B7uwLZeI,games
Hotel Dusk: Room 215,Monochrome,https://www.youtube.com/watch?v=4Hav61IRdnw,games
Hotline Miami,M.O.O.N - 'Hydrogen',https://www.youtube.com/watch?v=SNE2oCZH_4k,games
Human Fall Flat,Labour,https://www.youtube.com/watch?v=lqfZk45kR14,games
Hyrule Warriors,Main Theme,https://www.youtube.com/watch?v=L4P_ji9lnBM,games
Inazuma Eleven,Main Theme,https://www.youtube.com/watch?v=InZvb3cRzy0,games
Inazuma Eleven Strikers,Opening,https://www.youtube.com/watch?v=AS9ZjNh1bCA,games
Inazuma Eleven: Victory Road,Main Theme,https://www.youtube.com/watch?v=MO2q3NHhFC0,games
Injustice: Gods Among Us,Injustice: Gods Among Us,https://www.youtube.com/watch?v=Nns38j4UvU8,games
Islands of Insight,Title,https://www.youtube.com/watch?v=Ah2NMNEwbrE,games
Izuna: The Legend of the Ninja,Title,https://www.youtube.com/watch?v=m9x9cu5HXs8,games
Jet Set Radio,That's Enough,https://www.youtube.com/watch?v=L-YlavHw4cE,games
Jet Set Radio Future,Oldies But Happies,https://www.youtube.com/watch?v=hVem8ZFLZVA,games
Just Cause 2,Main Title,https://www.youtube.com/watch?v=3Q58WTrJjYY,games
Just Dance 4,Title / Menu,https://www.youtube.com/watch?v=YgeTILtPlUY,games
Katana Zero,Version,https://www.youtube.com/watch?v=CfSwxETYAd8,games
Kerbal Space Program,Build Mode,https://www.youtube.com/watch?v=ng5NA-j7y7A,games
Kid Icarus Uprising,The Return of Palutena,https://www.youtube.com/watch?v=BFCC-ER97Y8,games
Kingdom Hearts,Title Screen,https://www.youtube.com/watch?v=ixSrQI-J-80,games
Kirby and the Forgotten Land,Two Planets Approach the Roche limit,https://www.youtube.com/watch?v=Paw4n5xmqxQ,games
Kirby: Super Star,Gourmet Race,https://www.youtube.com/watch?v=Se1uh3PS78Y,games
Kirby's Dream Land 3,Grass Land,https://www.youtube.com/watch?v=5M2pwNUpET4,games
